Job ID,Cluster,User/Group,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Cores,Array Job ID,WARNING
73144,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:14:07,69.31,00:10:11,469.52 MB,22.93,,73140_3,
73145,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:36,54.55,00:00:33,219.06 MB,10.70,,73140_4,
73146,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:05,8.33,00:00:03,1016.00 KB,0.01,,,
73147,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:06,10.00,00:00:03,1.07 MB,0.01,,,
73148,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:35,56.45,00:00:31,135.27 MB,6.60,,73148_5,
73149,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:35,54.69,00:00:32,176.39 MB,8.61,,73148_0,
73150,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:35,56.45,00:00:31,164.11 MB,8.01,,73148_1,
73151,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:35,56.45,00:00:31,181.99 MB,8.89,,73148_2,
73152,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:35,56.45,00:00:31,179.54 MB,8.77,,73148_3,
73153,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:13:16,68.98,00:09:37,446.46 MB,21.80,,73148_4,
73154,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:06,10.00,00:00:03,784.00 KB,0.00,,,
73155,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:06,10.00,00:00:03,1.00 MB,0.01,,,
73156,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:23,71.03,00:08:43,453.99 MB,22.17,,73156_5,
73157,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:25,71.22,00:08:43,391.99 MB,19.14,,73156_0,
73158,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:24,71.13,00:08:43,453.20 MB,22.13,,73156_1,
73159,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:24,71.13,00:08:43,453.33 MB,22.14,,73156_2,
73160,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:24,71.13,00:08:43,454.07 MB,22.17,,73156_3,
73161,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:12:26,71.32,00:08:43,457.04 MB,22.32,,73156_4,
73162,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:56,23.33,00:00:12,303.70 MB,1.85,,,
73163,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:05,12.50,00:00:02,1.72 MB,0.01,,,
73164,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:00:13,50.00,00:00:13,394.23 MB,19.25,,73164_4,
73165,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:00:15,57.69,00:00:13,391.36 MB,19.11,,73164_0,
73166,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:00:16,61.54,00:00:13,392.87 MB,19.18,,73164_1,
73167,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:00:15,57.69,00:00:13,383.47 MB,18.72,,73164_2,
73168,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:00:14,53.85,00:00:13,401.92 MB,19.62,,73164_3,
73169,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:20,58.82,00:00:17,64.59 MB,3.15,,73169_9,
73170,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:25,56.82,00:00:22,92.71 MB,4.53,,73169_0,
73171,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:25,56.82,00:00:22,92.55 MB,4.52,,73169_1,
73172,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:26,59.09,00:00:22,92.93 MB,4.54,,73169_2,
73173,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:26,59.09,00:00:22,92.82 MB,4.53,,73169_3,
73174,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:26,59.09,00:00:22,92.31 MB,4.51,,73169_4,
73175,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:20,55.56,00:00:18,63.16 MB,3.08,,73169_5,
73176,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:01:01,67.78,00:00:45,313.83 MB,15.32,,73169_6,
73177,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:20,55.56,00:00:18,64.44 MB,3.15,,73169_7,
73178,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:20,58.82,00:00:17,64.64 MB,3.16,,73169_8,
73179,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:24,30.00,00:00:20,64.80 MB,3.16,,73179_9,
73180,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:26,30.95,00:00:21,92.61 MB,4.52,,73179_0,
73181,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:26,30.95,00:00:21,92.76 MB,4.53,,73179_1,
73182,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:26,30.95,00:00:21,93.18 MB,4.55,,73179_2,
73183,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:26,30.95,00:00:21,93.02 MB,4.54,,73179_3,
73184,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:26,30.95,00:00:21,92.35 MB,4.51,,73179_4,
73185,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:25,29.76,00:00:21,63.24 MB,3.09,,73179_5,
73186,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:14:50,64.68,00:05:44,383.58 MB,18.73,,73179_6,
73187,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:24,28.57,00:00:21,64.47 MB,3.15,,73179_7,
73188,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:24,30.00,00:00:20,64.73 MB,3.16,,73179_8,
73189,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:51,25.50,00:00:10,277.57 MB,1.69,,,
73190,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:41:40,67.93,00:15:20,643.81 MB,31.44,,73190_9,
73191,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:45:53,67.54,00:16:59,712.16 MB,34.77,,73190_0,
73192,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:48:48,68.28,00:17:52,739.51 MB,36.11,,73190_1,
73193,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:49:02,68.23,00:17:58,739.00 MB,36.08,,73190_2,
73194,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:48:40,68.22,00:17:50,741.58 MB,36.21,,73190_3,
73195,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:47:56,67.45,00:17:46,741.07 MB,36.19,,73190_4,
73196,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:51:20,68.14,00:18:50,733.14 MB,35.80,,73190_5,
